"post-card-image-link href","post-card-image src","post-card-tags","post-card-title","post-card-author","post-card-author href","post-meta-date 2","reading-time"
"https://blog.flat.io/music-theory-3-on-6-hearing-intervals/","https://blog.flat.io/content/images/size/w600/2023/08/Blog-cover---interval-series-1-2.jpg","Music&Composition - Music theory","Hearing Intervals - Part 3","Rebeca Valverde","https://blog.flat.io/author/rebeca/","23 November 2023","2 min read"
"https://blog.flat.io/music-theory-2-on-6-hearing-intervals/","https://blog.flat.io/content/images/size/w600/2023/08/Blog-cover---interval-series-3.jpg","Music&Composition - Music theory","Hearing Intervals - Part 2","Rebeca Valverde","https://blog.flat.io/author/rebeca/","23 November 2023","2 min read"
"https://blog.flat.io/music-theory-1-on-6-hearing-intervals/","https://blog.flat.io/content/images/size/w600/2023/08/Blog-cover---interval-series-2.jpg","Music&Composition - Music theory","Hearing Intervals - Part 1","Rebeca Valverde","https://blog.flat.io/author/rebeca/","23 November 2023","3 min read"
"https://blog.flat.io/music-theory-interval-names/","https://blog.flat.io/content/images/size/w600/2023/08/Blog-cover---interval-series-1.jpg","Music&Composition - Music theory","Exploring Interval Names in Music Theory for Beginners","Rebeca Valverde","https://blog.flat.io/author/rebeca/","18 May 2026","1 min read"
"https://blog.flat.io/music-theory-distance-between-notes/","https://blog.flat.io/content/images/size/w600/2023/08/Blog-cover---interval-series.jpg","Music&Composition - Music theory","Distance between notes: semitones (half steps) and whole tones explained","Rebeca Valverde","https://blog.flat.io/author/rebeca/","20 May 2026","3 min read"
"https://blog.flat.io/how-to-project-emotions-through-music-modulation/","https://blog.flat.io/content/images/size/w600/2024/09/Group-861.png","Music&Composition - Tips & Tricks","How to project emotions through music: The art of modulation","Rebeca Valverde","https://blog.flat.io/author/rebeca/","24 September 2024","3 min read"
"https://blog.flat.io/how-to-project-emotions-through-music-progression/","https://blog.flat.io/content/images/size/w600/2024/09/Group-970.png","Music&Composition - Music theory","How to project emotions through music: Choosing the perfect chord progression","Rebeca Valverde","https://blog.flat.io/author/rebeca/","15 May 2026","1 min read"
"https://blog.flat.io/how-to-project-music-through-music-harmony/","https://blog.flat.io/content/images/size/w600/2024/09/Group-971.png","Music&Composition - Music theory","How to project emotions through music: Creating a powerful harmony","Rebeca Valverde","https://blog.flat.io/author/rebeca/","24 September 2024","3 min read"
"https://blog.flat.io/the-melody/","https://blog.flat.io/content/images/size/w600/2024/09/Group-975.png","Music&Composition - Music theory","How to project emotions through music: Creating a memorable melody","Rebeca Valverde","https://blog.flat.io/author/rebeca/","15 May 2026","1 min read"
"https://blog.flat.io/setting-the-tempo/","https://blog.flat.io/content/images/size/w600/2024/09/Group-977.png","Music&Composition - Music theory","How to project emotions through music: Choosing the right tempo","Rebeca Valverde","https://blog.flat.io/author/rebeca/","14 May 2026","1 min read"
"https://blog.flat.io/choose-the-right-key/","https://blog.flat.io/content/images/size/w600/2024/09/Group-978.png","Music&Composition - Music theory","Music Keys and Their Emotions: How to Choose the Right Key for Your Song","Rebeca Valverde","https://blog.flat.io/author/rebeca/","12 May 2026","9 min read"
"https://blog.flat.io/how-to-project-emotions-through-music/","https://blog.flat.io/content/images/size/w600/2024/09/Group-969.png","Music&Composition - Music theory","Music, a catalyst for emotions","Rebeca Valverde","https://blog.flat.io/author/rebeca/","15 May 2026","1 min read"
"https://blog.flat.io/how-to-use-multiple-voices-in-music/","https://blog.flat.io/content/images/size/w600/2023/06/Blog-cover---voices-article.png","Music & Composition","How to Use Multiple Voices in Music","Rebeca Valverde","https://blog.flat.io/author/rebeca/","14 May 2026","2 min read"
