"post-card-image-link href","post-card-image src","post-card-tags","post-card-title","post-meta-date 2","reading-time"
"https://blog.flat.io/how-to-transpose-music/","https://images.unsplash.com/photo-1544504729-982012fc43d0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMTc3M3wwfDF8c2VhcmNofDEzMHx8bXVzaWMlMjBjb21wb3NlciUyMHxlbnwwfHx8fDE3Nzg3ODAzNjB8MA&ixlib=rb-4.1.0&q=80&w=600","Music & Composition","Transposition in music notation software: how it works","11 June 2026","9 min read"
"https://blog.flat.io/april-2026-pokemon-challenge-results/","https://blog.flat.io/content/images/size/w600/2026/05/blog-header-challenge-winner.png","Flat","Pokémon Challenge April 2026: The Results","08 May 2026","6 min read"
"https://blog.flat.io/transition-from-finale-to-flat/","https://blog.flat.io/content/images/size/w600/2026/05/ChatGPT-Image-May-7--2026--04_39_39-PM.png","Music & Composition","An intuitive Finale alternative for music notation","11 June 2026","5 min read"
"https://blog.flat.io/sibelius-mobile-app-vs-flat-android-ios/","https://blog.flat.io/content/images/size/w600/2026/05/ChatGPT-Image-May-7--2026--01_12_19-PM.png","Music & Composition","Sibelius mobile app vs Flat: which is better for music composers on Android and iOS?","11 June 2026","6 min read"
"https://blog.flat.io/the-best-notation-softwares-for-music-composers-in-2026/","https://blog.flat.io/content/images/size/w600/2026/05/ChatGPT-Image-May-6--2026--06_34_03-PM.png","Music & Composition","The best notation softwares for music composers in 2026","11 June 2026","6 min read"
"https://blog.flat.io/flat-vs-sibelius/","https://blog.flat.io/content/images/size/w600/2026/05/New-Blog-post.png","Flat","Flat vs Sibelius: An Honest Comparison (2026)","06 May 2026","5 min read"
"https://blog.flat.io/how-to-notate-lyrics-sheet-music/","https://images.unsplash.com/photo-1716521218833-29aaa811b083?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMTc3M3wwfDF8c2VhcmNofDExfHxtdXNpYyUyMGNvbXBvc2VyfGVufDB8fHx8MTc3ODAwMzk2OHww&ixlib=rb-4.1.0&q=80&w=600","Music & Composition","How to Notate Lyrics in Sheet Music: The Essential Rules","05 May 2026","3 min read"
"https://blog.flat.io/guitar-tab-vs-standard-notation/","https://images.unsplash.com/photo-1622820608546-cbd63d2af699?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3wxMTc3M3wwfDF8c2VhcmNofDI0fHxndWl0YXIlMjB0YWJ8ZW58MHx8fHwxNzc4MDAwNjU2fDA&ixlib=rb-4.1.0&q=80&w=600","Music & Composition","Guitar tab vs standard notation: which one should you learn?","05 May 2026","5 min read"
"https://blog.flat.io/keyboard-shortcuts-flatio-migration-guide/","https://blog.flat.io/content/images/size/w600/2026/04/Group-6356381.png","Flat","Keyboard Shortcuts in Flat: migration guide for MuseScore, Dorico & Sibelius users","22 April 2026","5 min read"
"https://blog.flat.io/the-eternal-lovers-we-have-a-winner/","https://blog.flat.io/content/images/size/w600/2026/03/blog-header-challenge-winner-1.png","Flat","The eternal lovers: we have a winner","09 March 2026","8 min read"
"https://blog.flat.io/turn-your-pdfs-into-editable-scores-in-flat-music-notation-software/","https://blog.flat.io/content/images/size/w600/2026/02/import-pdf-img-large-click--1-.png","Flat","Turn Your PDFs and Photos Into Editable Scores in Flat","28 May 2026","5 min read"
"https://blog.flat.io/series-opener-we-have-a-winner/","https://blog.flat.io/content/images/size/w600/2025/12/blog-header-challenge-winner.png","Flat","Series Opener: We Have a Winner","05 December 2025","3 min read"
"https://blog.flat.io/how-to-write-sheet-music-music-notes-explained/","https://blog.flat.io/content/images/size/w600/2025/09/Group-39416--3-.png","Music & Composition","How to write music notes: a beginner's guide to sheet music","20 May 2026","4 min read"
