"tablescraper-selected-row","tablescraper-selected-row href","tablescraper-selected-row 2","tablescraper-selected-row href 2","tablescraper-selected-row 3","tablescraper-selected-row href 3","tablescraper-selected-row 4","tablescraper-selected-row href 4","tablescraper-selected-row 5","tablescraper-selected-row href 5","tablescraper-selected-row 6","tablescraper-selected-row href 6","tablescraper-selected-row 7","tablescraper-selected-row href 7","tablescraper-selected-row 8","tablescraper-selected-row href 8","tablescraper-selected-row 9","tablescraper-selected-row href 9","tablescraper-selected-row 10","tablescraper-selected-row href 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14","tablescraper-selected-row 15","tablescraper-selected-row 16","tablescraper-selected-row 18","tablescraper-selected-row 23"
"Legislative Information","https://www.govinfo.gov/","(Official, Authenticated Documents)","https://www.congress.gov/congressional-record","Govinfo","https://www.govinfo.gov/app/collection/BILLS","(1995-)","https://www.govinfo.gov/app/collection/CHRG","Congressional Debates","http://memory.loc.gov/ammem/amlaw/lwhbsb.html","Congressional Hearings","http://memory.loc.gov/ammem/amlaw/lwss.html","Congressional Committee Reports","http://memory.loc.gov/ammem/amlaw/lawhome.html","American Memory: A Century of Law Making for a New Nation","http://memory.loc.gov/ammem/amlaw/lwdebt.html","Congressional Debates","https://www.congress.gov/","","https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%7D","(Library of Congress)","(House 1799-1873, Senate 1819-1873)","Congressional Bills","(U.S. Serial Set 1833-1917)","Congressional Committee Reports","(1789-1877)","Congress.gov","Congressional Committee Reports"
"Case Law","http://scholar.google.com/","(Legal Documents > Search all or selected Federal Courts)","http://www.law.cornell.edu/","Google Scholar","http://www.justia.com/","Legal Information Institute (LII","http://www.plol.org/Pages/Search.aspx","Justia","http://www.supremecourt.gov/opinions/opinions.aspx","Public Library of Law","http://www.uscourts.gov/about-federal-courts/federal-courts-public/court-website-links","(Laws: Cases & Codes > Browse by Volume or Year (Sup. Ct. 1959-).","http://lp.findlaw.com/","Findlaw","http://www.uscourts.gov/about-federal-courts/federal-courts-public/court-website-links","(Legal Resources > Federal Law > Judicial Branch)","https://www.govinfo.gov/app/collection/USCOURTS/CourtType2","(Case Law > Search by Keyword; Advanced Options > Restrict by Date Range and/or Jurisdiction > Search by Keyword.  Results displayed by relevancy)","http://www.findlaw.com/casecode/supreme.html","(Cases & Codes > Select Court)","(PDFs of U.S. Reports 1991-, slip ops 2008-)","U.S. Supreme Court","(links to court websites, coverage varies)","U.S. Courts of Appeals","(links to court websites, coverage varies)","U.S. Courts","U.S. Courts of Appeals"
"United States Supreme Court Briefs, Oral Arguments, and Other Information","http://www.supremecourt.gov/","Journal covering cases before the U.S. Supreme Court.","http://supreme.lp.findlaw.com/","U.S. Supreme Court","https://www.americanbar.org/","Find Law: U.S. Supreme Court Center","http://www.scotusblog.com/","American Bar Association","http://www.law.cornell.edu/supct/cert/","SCOTUSBlog","http://www.supremecourt.gov/oral_arguments/argument_audio.aspx","(Chicago-Kent College of Law)  Oral Argument Audio (1981-).","http://www.scotusblog.com/case-files/terms/","LII Supreme Court Bulletin","https://www.supremecourt.gov/meritsbriefs/briefsource.aspx","(sponsored by Bloomberg Law) provides extensive coverage of cases before the U.S. Supreme Court","http://www.scotusblog.com/case-files/petitions-were-watching/","Argument Audio","https://www.americanbar.org/groups/public_education/publications/preview_home/","PDFs of argument transcripts, opinions (links to Bloomberg Law), dockets (links to the Supreme Court website), aggregated blog commentary by case (Oct. 2007 Term-).","Briefs","Merits Briefs","Oyez","","","Term Archives",""
"U.S. Court of Appeals Oral Arguments","https://www.courtlistener.com/coverage/","Audio of Circuit Court oral arguments. Coverage varies.","","Court Listener","","","","","","","","","","","","","","","","","","","","","","",""
"U.S. District Court Case Records","https://www.recapthelaw.org/","(U.S. Law > U.S. Federal Law > U.S. Federal Court Dockets & Case Filings) Coverage varies, may only include docket sheet (2004-)","http://dockets.justia.com/","RECAP The Law","","Justia","","","","","","Provides instructions to access donated District and Bankruptcy Court documents from PACER (Coverage incomplete, varies).","","","","","","","","","","","","","","",""
"Finding Citing Cases","","Google Scholar","","","","","","","","","","","http://lp.findlaw.com/","Findlaw","","","http://scholar.google.com/","","","From case display, select “cases citing this case”","","","","","","",""
"Administrative Law:","","Consult individual websites for agency-specific rules, regulations, decisions, and other resources.","","","","","","","","","","","","","","","","","","","","","","","","",""
"Links to Federal Agencies","https://www.usa.gov/federal-agencies","A-Z list of U.S. federal government departments and agencies, with","https://www.govinfo.gov/app/collection/FR/","USA.gov","https://www.federalregister.gov/","Regulations","https://www.govinfo.gov/app/collection/cfr/","Govinfo","https://gov.ecfr.io/cgi-bin/ECFR?page=browse","Office of the Federal Register","http://www.law.cornell.edu/cfr/text","Regulations.gov","","Federal Register","","Code of Federal Regulations","","(official, 1996-) Browse by year and Title, PDFs.","","Govinfo","(unofficial) Current edition, updated daily.  Browse by Title, search by keyword. Content should be verified against official version when available on Govinfo.","e-CFR","(unofficial) Browse by title, search by keyword. Includes Parallel Table of Authorities showing agency regulatory authorization. Content in database refreshed weekly.","(LII)","Legal Information Institute","",""
"Presidential Resources","http://www.whitehouse.gov/briefing-room/presidential-actions","Includes Executive Orders, Presidential Memorandum, and Proclamations","http://www.archives.gov/","The White House: Presidential Actions","http://www.archives.gov/federal-register/codification/","(January 2009- ).","https://www.govinfo.gov/","National Archives","http://www.archives.gov/federal-register/executive-orders/disposition.html","Codification of Presidential Proclamations and Executive Orders","http://www.archives.gov/federal-register/publications/presidential-papers.html","Prepared by the Office of the Federal Register, includes proclamations and Executive orders with “general applicability and continuing effect” (April 13, 1945- January 20, 1989).","http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=CPD","Executive Orders Disposition Tables Index","http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=PPP&browsePath=president-59&isCollapsed=false&leafLevelBrowse=false&ycord=0","(January 8, 1937-May 1, 2012) Includes subject index by president.","","(1981- (Ronald Reagan-)) Official series including presidential writings, addresses, and public remarks, organized chronologically.","","Govinfo","Public Papers of the Presidents","Compilation of Presidential Documents","(1993- ) Official documents released by the White House Press Secretary, includes weekly and daily editions.","Public Papers of the Presidents","(1991- (George H.W. Bush -)) Official series including presidential writings, addresses, and public remarks, organized chronologically.","",""
"State Law","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Please also consult","https://libguides.law.gmu.edu/virginia-legal-materials","the library’s","","Virginia Legal Materials Research Guide","","for information about free Virginia resources.","","","","","","","","","","","","","","","","","","","","",""
"Primary State Materials (Constitutions, Statutes, Cases)","","Google Scholar","","Justia: U.S. States","http://www.justia.com/us-states/","Includes state constitutions, cases, and links to legislative resources. Coverage varies by state.","","","","","","","http://lp.findlaw.com/","FindLaw","","","http://scholar.google.com/advanced_scholar_search?hl=en&as_sdt=0,47","","","","","","Provides state supreme court and appellate decisions (1950-). Use ""advanced search"" to restrict to specific state courts.","","",": State",""
"Sites Providing Links to State-Sponsored Websites","http://www.law.cornell.edu/states/","National Conference of State Legislatures","http://www.ncsc.org/Information-and-Resources/Browse-by-State/State-Court-Websites.aspx","Public Library of Law","http://www.plol.org/Pages/Search.aspx","LII: Collection of State Legal Materials","https://www.congress.gov/state-legislature-websites","National Center for State Courts","https://www.llsdc.org/state-legislation","State Legislatures, State Laws, and State Regulations: Website Links and Telephone Numbers","","Provides a map linking to state legislative sites.","http://www.administrativerules.org/index.php?option=com_content&view=article&id=58","National Association of Secretaries of State: Administrative Rules Online by State","","Congress.Gov: State Legislatures and Websites","http://www.ncsl.org/about-us/ncslservice/state-legislative-websites-directory.aspx","","","Access to state constitutions, statutes, regulations, and judicial opinions.","","","","","",": Internet Links",""
"International and Foreign Law","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Please consult the library’s","https://libguides.law.gmu.edu/international","under the heading “Other Online Resources” for additional resources","","International Law Research Guide","",".","","","","","","","","","","","","","","","","","","","","",""
"Links include primary legal materials, databases, statistics, and international organizations.","http://www.nyulawglobal.org/Globalex/","","https://guides.loc.gov/law-library","GlobaLex","http://www.worldlii.org/","(NYU School of Law) Provides International and Comparative Law guides and articles by subject.","","Guide To Law Online","http://www.findlaw.com/12international/index.html","Links to both free and fee-based resources.","http://library.law.yale.edu/research/guides/country-guide","","http://www.loc.gov/law/help/guide/international.php","World Legal Information Institute","","Links to sites with primary International and Foreign sources, including international organizations, national government and other legal information.  Coverage varies by country.","https://guides.loc.gov/nations-world","Databases and catalog to over 15,000 law-related websites in every country of the world.","http://www.law.cornell.edu/world/","","","FindLaw: International Resources","","Yale Law Library: Country by Country Guide to Foreign Law Resources","","International","LII: Law by Source (Global)"
"Journal Articles","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Search more than 400 online full-text journal/law reviews and related sources, including Congressional Research Service Reports.  Coverage varies.","http://www.lawtechnologytoday.org/free-full-text-online-law-review-journal-search/",")","https://www.loc.gov/pubrr/findit-articlefinder.html","ABA Legal Technology Resource Center/Law Technology Today","","A Library of Congress tool to help you locate the full-text of an article by providing citation information.","","Find It! Article Finder","http://scholar.google.com/","Limits Google search to academic journal articles, conference papers, dissertations, theses, indexes articles and abstracts from major academic publishers.  Coverage and access to full-text varies.","http://www.ssrn.com/","Law Review Commons","","","","Widely used by scholars to share papers and articles in several topical networks.  Legal Scholarship Network includes over 130,000 papers searchable by keyword, title, author or date.","","A resource provided by Bepress, browse and search law journal articles made available by institutions through their Bepress Digital Commons repositories.","https://lawreviewcommons.com/about.html","","","Google Scholar","","","","","Social Science Research Network (SSRN"
"Dictionaries & Encyclopedias","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(LII)","https://www.nolo.com/legal-encyclopedia","Legal Dictionary and Encyclopedia","","Nolo's Free Legal Encyclopedia","","","","","http://dictionary.lp.findlaw.com/","","http://www.nolo.com/dictionary","","http://www.law.cornell.edu/wex/","","","Wex","","","http://dictionary.law.com/","","","Findlaw Legal Dictionary","","Nolo’s Free Dictionary of Law Terms and Legal Definitions","","","Law.Com Dictionary"
"Legal News and Blogs","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Magazine of the American Bar Association.","http://legalnews.findlaw.com/","National Law Journal/Legal Times","https://lawstreetmedia.com/","Findlaw: Legal Pulse","http://www.lexisnexis.com/communities/","Lists regularly updated law blogs by topic.  Annual ranking of the “Top 100 Blawgs.”","https://www.subscriptlaw.com/","Law Street Media","http://www.abajournal.com/","Legal headlines and topical updates.","http://www.jurist.org/","(Online Editions)","http://blawgsearch.justia.com/","LexisNexis Communities","http://www.nationallawjournal.com/legaltimes","Justia Blawg Search","","U.S. and World Legal News.","http://www.abajournal.com/blawgs/","Subscript Law","Find blogs on numerous legal topics.","ABA Journal","Registration required to access all free content.","Jurist","Fastcase's legal news by industry. Readers can track litigation, companies, and firms within industry sectors.","Legal news, blogs, and podcasts for select practice areas.","ABA Journal Blawg Directory"
"Research Guides","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"There are numerous topical online legal research guides, many written by librarians at university and public law libraries. In addition to","https://libguides.law.gmu.edu/",", other recommended sources for research guides include:","","George Mason Law Library Research Guides","","","","","","","","","","","","","","","","","","","","","","",""
"Includes links to free electronic resources related to secondary sources, foreign law sources, and  U.S. federal, state, and local primary sources","http://library.law.emory.edu/electronic-resources/electronic-resources-free.html","","http://guides.ll.georgetown.edu/home","Emory Law Library","https://guides.library.harvard.edu/law","A large number of legal research guides and treatise finder.","https://www.hg.org/practiceareas.html","Georgetown Law Library","https://judiciallearningcenter.org/student-center/","A large number of legal research guides and legal web search available.","http://www.llrx.com/","Judicial Learning Center","http://law.lexisnexis.com/infopro/zimmermans/","Harvard Law Library","","","","Information, overviews, definitions, and links for more than 260 legal practice areas.","http://www.loc.gov/law/help/guide.php","HG.org","Helpful basic information on the role, organization, and operation of federal courts.","Law Library of Congress: Guide to Law Online","Includes links to resources on U.S., Foreign, and International Law.","Zimmerman’s Research Guide","Web journal with guides covering Internet research and technology.","(LexisNexis) Online encyclopedia and collection of research guides.","LLRX"
"Low Cost Mobile Apps & Databases","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The services listed below offer a variety of plans that provide enhanced searching for primary legal materials, although fewer search features than premium legal databases. In addition, while these products offer citators, however the updating features are not equivalent to Shepards, Keycite, or BCite.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"(Mobile App)","https://casetext.com/","Federal and state cases, statutes, regulations, and rules with annotated codified law, advanced citator, and free customer support","https://public.casemakerlegal.net/","Casetext","https://courtroom5.com/","(Mobile App)","https://apps.apple.com/us/app/courtroom-objections/id372347918","Casemaker","http://www.fastcase.com/","(Mobile App)","https://www.lawstack.com/","All-inclusive monthly price per month starting at $65","https://apps.apple.com/us/app/legal-dictionary/id1021283555","Courtroom5","","Detailed guidance for pro se litigants on how to represent yourself in court.","","Monthly membership fee of $49/month includes end-to-end legal case management toolbox.","","Courtroom Objections","A quick guide to making and responding to courtroom objections, including lists of common objections and responses.","Fastcase","Monthly and annual subscriptions available, fees based on state bar membership (free with some state bar memberships---not D.C., Maryland, or Virginia).","Law Stack","App price is $2.99 with family-sharing option available for up to six (6) people.","Federal and state cases, statutes, regulations, court rules, and bar publications. Also includes a free mobile app.","Subscription options range from free access to paid packages."
"(Mobile App)","https://apps.apple.com/us/app/nolos-english-law-dictionary/id319070903","Complete and up-to-date legal dictionary, edited by a team of lawyers with expertise in vital areas of the law.","https://apps.apple.com/us/app/oyez/id346152567","Nolo's English Law Dictionary","https://play.google.com/store/apps/details?id=com.rssb.rulebook&hl=en_GB","(Mobile App)","","Oyez","http://www.pacer.gov/","(Mobile App)","","Free with family sharing available for up to six (6) people.","","Rule Book","","Multimedia judicial archive of the U.S. Supreme Court, plus the Justia Lawyer Directory and Annotated Constitution","","Free with family sharing available for up to six (6) people.","","","Operated by the Administrative Office of the U.S. Courts, provides access to Federal Appellate, District, and Bankruptcy Court case and docket information.","Public Access to Court Electronic Records (PACER)","","","Charges $0.10 per page retrieved, $3.00 cap per document. Quarterly charges of less than $15.00 are waived.","Exclusive mobile publishing platform for the Bluebook and other leading legal publishers. Included Federal Rules of Evidence, U.S. Constitution, and more.",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
